,lateral_distance_nm,vertical_separation_m,closing_speed_mps,bearing_difference_deg,time_to_cpa_s,collision_risk
lateral_distance_nm,1.0,0.20585973450164957,0.1803449729748945,0.02658101732902975,0.09434564660344567,-0.14852579687996553
vertical_separation_m,0.20585973450164957,1.0,0.38815460794797335,0.0020459901434320923,-0.10394901525056621,-0.06866675293461531
closing_speed_mps,0.1803449729748945,0.38815460794797335,1.0,0.4661367815863398,-0.14579691594901834,-0.05846362904006306
bearing_difference_deg,0.02658101732902975,0.0020459901434320923,0.4661367815863398,1.0,-0.21977375356670792,-0.0007468277593437352
time_to_cpa_s,0.09434564660344567,-0.10394901525056621,-0.14579691594901834,-0.21977375356670792,1.0,0.016392240141625554
collision_risk,-0.14852579687996553,-0.06866675293461531,-0.05846362904006306,-0.0007468277593437352,0.016392240141625554,1.0
