,lateral_distance_nm,vertical_separation_m,closing_speed_mps,bearing_difference_deg,time_to_cpa_s,collision_risk
lateral_distance_nm,1.0,0.21930911519911667,0.19324914128841109,0.029248140317068936,0.40869420261728845,-0.12259708694218398
vertical_separation_m,0.21930911519911667,1.0,0.41900766658247657,0.0021267013003170845,-0.20225979791946655,-0.10956439699459485
closing_speed_mps,0.19324914128841109,0.41900766658247657,1.0,0.4631686650888379,-0.0037523866186568436,-0.06910091347348674
bearing_difference_deg,0.029248140317068936,0.0021267013003170845,0.4631686650888379,1.0,-0.3690684766290048,-0.0012069143428976624
time_to_cpa_s,0.40869420261728845,-0.20225979791946655,-0.0037523866186568436,-0.3690684766290048,1.0,-0.0620972964022223
collision_risk,-0.12259708694218398,-0.10956439699459485,-0.06910091347348674,-0.0012069143428976624,-0.0620972964022223,1.0
